업종명,업소명,소재지(도로명),소재지(지번),영업자시작일,업태명
일반음식점,우리식당,"서울특별시 동대문구 한빛로 23, 1층 (신설동)",서울특별시 동대문구 신설동 38-1 ,2015-07-03,분식
일반음식점,갈비명가 이상 답십리점,서울특별시 동대문구 천호대로 327 (답십리동),서울특별시 동대문구 답십리동 530-27 ,2021-10-26,한식
일반음식점,대한닭발1979,"서울특별시 동대문구 장한로 116, 2층 (장안동)",서울특별시 동대문구 장안동 366-1 ,2015-02-26,한식
일반음식점,텐,"서울특별시 동대문구 회기로 116-1, 1층 101호 (회기동)",서울특별시 동대문구 회기동 60-139 ,2015-02-27,일식
일반음식점,송학삼계탕,서울특별시 동대문구 왕산로35길 6 (청량리동),서울특별시 동대문구 청량리동 767 ,2020-08-21,한식
일반음식점,장군집,"서울특별시 동대문구 회기로25길 23-5, 1층 (회기동)",서울특별시 동대문구 회기동 54-39 ,2015-03-02,한식
일반음식점,힐링켐프(직영점),"서울특별시 동대문구 청계천로 417, 1층 (신설동, 대성스카이렉스 105~106호)",서울특별시 동대문구 신설동 109-13 대성스카이렉스 105~106호 ,2015-03-03,일식
일반음식점,수상한 막창,"서울특별시 동대문구 전농로 53, 1층 (답십리동)",서울특별시 동대문구 답십리동 260-1 ,2015-03-04,한식
일반음식점,몬스터플레이스 이문점,"서울특별시 동대문구 천장산로7길 8, 3층 (이문동)",서울특별시 동대문구 이문동 264-211 ,2020-07-31,기타
일반음식점,다사리아2,"서울특별시 동대문구 서울시립대로27길 55, 1층 (전농동)",서울특별시 동대문구 전농동 103-333 ,2022-02-25,한식
일반음식점,정다운포차,"서울특별시 동대문구 한천로24길 5, 1층 (장안동)",서울특별시 동대문구 장안동 151-11 ,2017-03-27,한식
일반음식점,이강참치,"서울특별시 동대문구 이문로 195, 1~2층 (이문동)",서울특별시 동대문구 이문동 255-380 ,2015-03-09,일식
일반음식점,토종순대국,"서울특별시 동대문구 천장산로 48, 1층 (이문동)",서울특별시 동대문구 이문동 392-6 ,2017-04-06,한식
일반음식점,복순네 감자탕,"서울특별시 동대문구 경동시장로8길 46, 1층 (청량리동)",서울특별시 동대문구 청량리동 782 ,2019-07-08,한식
일반음식점,거정,"서울특별시 동대문구 전농로16길 27-4, 1층 (전농동)",서울특별시 동대문구 전농동 46-32 ,2015-03-16,한식
일반음식점,한성음식점,서울특별시 동대문구 고산자로38길 20 (제기동),서울특별시 동대문구 제기동 992-29 ,2015-03-19,한식
일반음식점,썸타는떡볶이&치킨,"서울특별시 동대문구 서울시립대로 55, 1층 (전농동)",서울특별시 동대문구 전농동 649-1 ,2020-10-28,기타
일반음식점,더 멜로우(The mellow),"서울특별시 동대문구 장한로10길 15, 1층 (장안동)",서울특별시 동대문구 장안동 437-6 ,2015-03-20,기타
일반음식점,불난철판,"서울특별시 동대문구 회기로21길 26, 지하1층 (회기동)",서울특별시 동대문구 회기동 20-2 ,2017-02-13,기타
일반음식점,돈사돈,"서울특별시 동대문구 안암로 6, 1층 (신설동, 체육관)",서울특별시 동대문구 신설동 53-3 체육관 1층 ,2015-03-23,한식
일반음식점,쿠우쿠우아트몰링점,"서울특별시 동대문구 답십리로 288, 지상17층 (장안동, 바우하우스)",서울특별시 동대문구 장안동 368-1 ,2018-09-18,일식
일반음식점,카페루,"서울특별시 동대문구 왕산로 52, 101동 1층 101호 (용두동, 대우아이빌)",서울특별시 동대문구 용두동 236-1 ,2016-02-17,경양식
일반음식점,삼촌네춘천닭갈비,"서울특별시 동대문구 전농로3가길 1, 1층 (답십리동)",서울특별시 동대문구 답십리동 270-7 ,2015-03-31,한식
일반음식점,미소야,"서울특별시 동대문구 장한로26길 55, 1층 7호 (장안동)",서울특별시 동대문구 장안동 334-7 ,2020-07-22,한식
일반음식점,전주전통식당,"서울특별시 동대문구 홍릉로1가길 17-2, 1층 (제기동)",서울특별시 동대문구 제기동 586-5 ,2015-03-31,한식
일반음식점,골목냉면,"서울특별시 동대문구 전농로 105-1, 1층 (답십리동)",서울특별시 동대문구 답십리동 99-22 ,2015-04-01,냉면집
일반음식점,강정구의 피자생각(장안점),"서울특별시 동대문구 장한로 65, 1층 (장안동)",서울특별시 동대문구 장안동 375-4 ,2015-04-03,패스트푸드
일반음식점,요거트월드 외대점,"서울특별시 동대문구 휘경로2길 16, 2층 (이문동)",서울특별시 동대문구 이문동 287-39 ,2022-03-21,기타
일반음식점,둥이네분식,"서울특별시 동대문구 한천로28길 34, 1층 102호 (장안동)",서울특별시 동대문구 장안동 143-38 ,2015-04-15,한식
일반음식점,비에이치씨치킨 회기점(bhc치킨),"서울특별시 동대문구 휘경로2길 42, 1층 (이문동)",서울특별시 동대문구 이문동 325-48 ,2021-10-15,통닭(치킨)
일반음식점,아지돈부리,"서울특별시 동대문구 장한로12길 8, 1층 (장안동)",서울특별시 동대문구 장안동 436-2 ,2019-10-14,일식
일반음식점,쭌이네포차,"서울특별시 동대문구 답십리로63길 78, 1층 (장안동)",서울특별시 동대문구 장안동 122-18 ,2015-04-17,한식
일반음식점,문성해물짬뽕,"서울특별시 동대문구 왕산로 234, 1층 (전농동)",서울특별시 동대문구 전농동 597-27 ,2016-11-24,중국식
일반음식점,육미반상,"서울특별시 동대문구 왕산로3길 16, 1층 (신설동)",서울특별시 동대문구 신설동 25-38 ,2021-05-20,기타
일반음식점,BHC(고려대역점),"서울특별시 동대문구 안암로 164, 1층 (제기동)",서울특별시 동대문구 제기동 137-418 ,2019-10-15,통닭(치킨)
